ac_number,male_electors_21,female_electors_21,tg_electors_21,total_electors_21,male_voters_21,female_voters_21,tg_voters_21,total_voters_21,turnout_21,male_turnout_21,female_turnout_21,gender_gap_21,male_electors_26,female_electors_26,tg_electors_26,total_electors_26,male_voters_26,female_voters_26,tg_voters_26,total_voters_26,turnout_26,male_turnout_26,female_turnout_26,gender_gap_26,constituency,region,reserved,district,male_delta,female_delta,gap_change,female_surge,gap_flipped
155,115147,124258,69,239474,85715,92937,37,182392,76.16,74.44,74.79,0.35,106273,116890,80,223243,88144,98630,60,190656,85.4,82.94,84.38,1.44,Cuddalore,Central,GEN,Cuddalore,8.5,9.59,1.09,1.09,False
156,119970,123273,26,243269,97470,100345,5,199795,82.13,81.25,81.4,0.15,116933,121308,46,238287,102332,109390,30,214326,89.94,87.51,90.18,2.67,Kurinjipadi,Central,GEN,Cuddalore,6.26,8.78,2.52,2.52,False
157,123448,125154,27,248629,97026,98193,7,197418,79.4,78.6,78.46,-0.14,115865,117469,19,233353,99730,104970,10,207463,88.91,86.07,89.36,3.29,Bhuvanagiri,Central,GEN,Cuddalore,7.47,10.9,3.43,3.43,True
158,123019,128060,21,251100,87845,92708,1,183730,73.17,71.41,72.39,0.98,113648,117647,30,231325,91541,101844,16,197092,85.2,80.55,86.57,6.02,Chidambaram,Central,GEN,Cuddalore,9.14,14.18,5.04,5.04,False
159,114480,114658,16,229154,85058,88454,3,175657,76.65,74.3,77.15,2.85,112652,113847,10,226509,88678,96949,4,188220,83.1,78.72,85.16,6.44,Kattumannarkoil,Central,SC,Cuddalore,4.42,8.01,3.59,3.59,False
160,124306,128303,12,252621,92098,97279,5,191416,75.77,74.09,75.82,1.73,119650,121769,13,241432,94395,104422,8,200546,83.07,78.89,85.75,6.86,Sirkali,Delta,SC,Nagapattinam,4.8,9.93,5.13,5.13,False
161,121687,124362,15,246064,85193,87336,0,174769,71.03,70.01,70.23,0.22,115519,119077,26,234622,89534,97124,19,188691,80.42,77.51,81.56,4.05,Mayiladuthurai,Delta,GEN,Nagapattinam,7.5,11.33,3.83,3.83,False
162,136002,139894,7,275903,100602,106820,0,209052,75.77,73.97,76.36,2.39,128012,131312,8,259332,102364,115581,6,219814,84.76,79.96,88.02,8.06,Poompuhar,Delta,GEN,Nagapattinam,5.99,11.66,5.67,5.67,False
163,95878,102072,10,197960,68207,74222,3,143667,72.57,71.14,72.72,1.58,85318,89396,22,174736,69937,79983,17,151512,86.71,81.97,89.47,7.5,Nagapattinam,Delta,GEN,Nagapattinam,10.83,16.75,5.92,5.92,False
164,87387,91374,3,178764,69543,72381,0,143373,80.2,79.58,79.21,-0.37,84174,86452,7,170633,71761,78177,3,151750,88.93,85.25,90.43,5.18,Kilvelur,Delta,SC,Nagapattinam,5.67,11.22,5.55,5.55,True
165,94518,98252,0,192770,73336,81951,0,158245,82.09,77.59,83.41,5.82,92434,95092,1,187527,73881,85501,1,162476,86.64,79.93,89.91,9.98,Vedaranyam,Delta,GEN,Nagapattinam,2.34,6.5,4.16,4.16,False
166,117615,122454,3,240072,88033,96108,0,186035,77.49,74.85,78.48,3.63,111654,115273,13,226940,88516,100696,8,191133,84.22,79.28,87.35,8.07,Thiruthuraipundi,Delta,SC,Tiruvarur,4.43,8.87,4.44,4.44,False
167,126007,134025,10,260042,90908,102341,0,195195,75.06,72.15,76.36,4.21,113724,120826,4,234554,87861,104495,2,194170,82.78,77.26,86.48,9.22,Mannargudi,Delta,GEN,Tiruvarur,5.11,10.12,5.01,5.01,False
168,137333,145343,32,282708,99492,106963,5,208481,73.74,72.45,73.59,1.14,127141,132984,20,260145,101446,114494,7,218012,83.8,79.79,86.1,6.31,Thiruvarur,Delta,GEN,Tiruvarur,7.34,12.51,5.17,5.17,False
169,135717,136564,24,272305,107506,113172,3,222249,81.62,79.21,82.87,3.66,132488,135074,14,267576,109330,120255,3,231592,86.55,82.52,89.03,6.51,Nannilam,Delta,GEN,Tiruvarur,3.31,6.16,2.85,2.85,False
170,128666,130837,15,259518,96264,100563,4,198592,76.52,74.82,76.86,2.04,126301,130705,8,257014,99126,108526,3,209468,81.5,78.48,83.03,4.55,Thiruvidamarudur,Delta,SC,Thanjavur,3.66,6.17,2.51,2.51,False
171,133238,139844,15,273097,95510,99754,2,197640,72.37,71.68,71.33,-0.35,123565,130803,15,254383,98465,107686,6,208378,81.92,79.69,82.33,2.64,Kumbakonam,Delta,GEN,Thanjavur,8.01,11.0,2.99,2.99,True
172,127408,133517,16,260941,93886,101108,4,197097,75.53,73.69,75.73,2.04,124835,131759,23,256617,96781,109352,8,207867,81.0,77.53,82.99,5.46,Papanasam,Delta,GEN,Thanjavur,3.84,7.26,3.42,3.42,False
173,130831,137740,19,268590,103178,106437,2,211969,78.92,78.86,77.27,-1.59,126442,132135,20,258597,106908,113049,9,222215,85.93,84.55,85.56,1.01,Thiruvaiyaru,Delta,GEN,Thanjavur,5.69,8.29,2.6,2.6,True
174,139150,151729,57,290936,92226,98835,32,194976,67.02,66.28,65.14,-1.14,120469,132322,50,252841,92142,103717,33,199040,78.72,76.49,78.38,1.89,Thanjavur,Delta,GEN,Thanjavur,10.21,13.24,3.03,3.03,True
175,118562,125182,3,243747,88929,101851,0,192622,79.03,75.01,81.36,6.35,113523,120229,6,233758,88018,105546,2,195475,83.62,77.53,87.79,10.26,Orathanad,Delta,GEN,Thanjavur,2.52,6.43,3.91,3.91,False
176,117875,127963,25,245863,79871,96601,2,178265,72.51,67.76,75.49,7.73,116063,126368,20,242451,80047,102391,7,184152,75.95,68.97,81.03,12.06,Pattukkottai,Delta,GEN,Thanjavur,1.21,5.54,4.33,4.33,False
177,108041,112111,10,220162,79830,89703,0,170896,77.62,73.89,80.01,6.12,104814,109145,15,213974,80711,94224,6,176446,82.46,77.0,86.33,9.33,Peravurani,Delta,GEN,Thanjavur,3.11,6.32,3.21,3.21,False
178,101112,100476,19,201607,77034,79074,11,157631,78.19,76.19,78.7,2.51,98651,97444,9,196104,79954,86234,4,167870,85.6,81.05,88.5,7.45,Gandharvakottai,Delta,SC,Pudukkottai,4.86,9.8,4.94,4.94,False
179,111135,114038,16,225189,92987,99341,2,194591,86.41,83.67,87.11,3.44,110937,114188,34,225159,96379,105740,32,203999,90.6,86.88,92.6,5.72,Viralimalai,Delta,GEN,Pudukkottai,3.21,5.49,2.28,2.28,False
180,119329,124679,21,244029,86107,91839,6,180798,74.09,72.16,73.66,1.5,110873,115114,22,226009,89038,99115,16,190615,84.34,80.31,86.1,5.79,Pudukkottai,Delta,GEN,Pudukkottai,8.15,12.44,4.29,4.29,False
181,111348,116532,3,227883,79459,93336,1,174081,76.39,71.36,80.09,8.73,107642,112977,3,220622,82050,99315,3,182792,82.85,76.22,87.91,11.69,Thirumayam,Delta,GEN,Pudukkottai,4.86,7.82,2.96,2.96,False
182,107189,110151,4,217344,80135,90228,0,171868,79.08,74.76,81.91,7.15,104833,107306,0,212139,82581,96333,0,180598,85.13,78.77,89.77,11.0,Alangudi,Delta,GEN,Pudukkottai,4.01,7.86,3.85,3.85,False
183,117375,119643,6,237024,78851,87834,0,168075,70.91,67.18,73.41,6.23,113235,116597,2,229834,83069,97891,1,182792,79.53,73.36,83.96,10.6,Arantangi,Delta,GEN,Pudukkottai,6.18,10.55,4.37,4.37,False
184,155920,161308,48,317276,98110,111857,6,213548,67.31,62.92,69.34,6.42,149478,156617,29,306124,103529,123453,15,229625,75.01,69.26,78.82,9.56,Karaikudi,South,GEN,Sivaganga,6.34,9.48,3.14,3.14,False
185,142890,148869,12,291771,96289,113690,0,212415,72.8,67.39,76.37,8.98,135526,140469,4,275999,95904,117835,2,216016,78.27,70.76,83.89,13.13,Tiruppattur,South,GEN,Sivaganga,3.37,7.52,4.15,4.15,False
186,148306,152854,3,301163,91771,107511,1,202839,67.35,61.88,70.34,8.46,136503,142103,3,278609,94445,116940,0,214716,77.07,69.19,82.29,13.1,Sivaganga,South,GEN,Sivaganga,7.31,11.95,4.64,4.64,False
187,137657,140947,1,278605,95484,104662,1,203497,73.04,69.36,74.26,4.9,128154,132042,7,260203,95712,109493,2,209091,80.36,74.69,82.92,8.23,Manamadurai,South,SC,Sivaganga,5.33,8.66,3.33,3.33,False
188,121016,123978,2,244996,86034,95748,2,183335,74.83,71.09,77.23,6.14,114265,115785,11,230061,86585,102395,3,190822,82.94,75.78,88.44,12.66,Melur,South,GEN,Madurai,4.69,11.21,6.52,6.52,False
189,161715,167444,50,329209,116556,118080,9,237945,72.28,72.07,70.52,-1.55,164049,172632,57,336738,129707,138577,28,272000,80.77,79.07,80.27,1.2,Madurai East,South,GEN,Madurai,7.0,9.75,2.75,2.75,True
190,107953,110767,10,218730,86261,87429,4,175416,80.2,79.91,78.93,-0.98,105847,109489,12,215348,91217,95865,6,189224,87.87,86.18,87.56,1.38,Sholavandan,South,SC,Madurai,6.27,8.63,2.36,2.36,True
191,119186,124374,36,243596,77354,77450,12,156860,64.39,64.9,62.27,-2.63,107562,113714,50,221326,77515,82207,28,161891,73.15,72.07,72.29,0.22,Madurai North,South,GEN,Madurai,7.17,10.02,2.85,2.85,True
192,113252,116855,26,230133,73821,73045,10,147964,64.29,65.18,62.51,-2.67,88345,91609,49,180003,69089,71609,3,141598,78.66,78.2,78.17,-0.03,Madurai South,South,GEN,Madurai,13.02,15.66,2.64,2.64,False
193,118170,123726,17,241913,75105,72967,6,149549,61.82,63.56,58.97,-4.59,97051,102648,26,199725,71990,75495,15,148709,74.46,74.18,73.55,-0.63,Madurai Central,South,GEN,Madurai,10.62,14.58,3.96,3.96,False
194,151603,155534,4,307141,100233,99593,0,202119,65.81,66.12,64.03,-2.09,135219,140458,12,275689,104392,109850,6,216866,78.66,77.2,78.21,1.01,Madurai West,South,GEN,Madurai,11.08,14.18,3.1,3.1,True
195,158185,163276,40,321501,116618,117087,4,236289,73.5,73.72,71.71,-2.01,152686,158988,31,311705,123550,129783,14,255946,82.11,80.92,81.63,0.71,Thiruparankundram,South,GEN,Madurai,7.2,9.92,2.72,2.72,True
196,136826,142763,9,279598,105452,111601,3,220953,79.03,77.07,78.17,1.1,128372,134567,9,262948,108399,118821,5,231544,88.06,84.44,88.3,3.86,Thirumangalam,South,GEN,Madurai,7.37,10.13,2.76,2.76,False
197,144261,142182,10,286453,103599,106469,1,212966,74.35,71.81,74.88,3.07,134096,133865,8,267969,107313,113527,4,224679,83.85,80.03,84.81,4.78,Usilampatti,South,GEN,Madurai,8.22,9.93,1.71,1.71,False
198,138216,140094,34,278344,101609,105539,4,209872,75.4,73.51,75.33,1.82,126975,130992,30,257997,103106,111509,12,217699,84.38,81.2,85.13,3.93,Andipatti,South,GEN,Theni,7.69,9.8,2.11,2.11,False
199,140344,145022,105,285471,98890,100142,36,202198,70.83,70.46,69.05,-1.41,130120,136340,110,266570,101761,106962,61,211514,79.35,78.21,78.45,0.24,Periyakulam,South,SC,Theni,7.75,9.4,1.65,1.65,True
200,136967,141827,21,278815,103160,108683,4,215197,77.18,75.32,76.63,1.31,128663,135707,16,264386,103602,114344,6,221116,83.63,80.52,84.26,3.74,Bodinayakanur,South,GEN,Theni,5.2,7.63,2.43,2.43,False
201,141663,146561,38,288262,96871,102364,1,202780,70.35,68.38,69.84,1.46,124942,132359,22,257323,98781,108943,7,211077,82.03,79.06,82.31,3.25,Cumbum,South,GEN,Theni,10.68,12.47,1.79,1.79,False
202,116852,122580,29,239461,84915,91662,3,178996,74.75,72.67,74.78,2.11,104592,110021,33,214646,86150,94608,22,183212,85.36,82.37,85.99,3.62,Rajapalayam,South,GEN,Virudhunagar,9.7,11.21,1.51,1.51,False
203,122432,128176,32,250640,88562,94127,5,185831,74.14,72.34,73.44,1.1,109704,115160,39,224903,90792,99596,27,193627,86.09,82.76,86.48,3.72,Srivilliputhur,South,SC,Virudhunagar,10.42,13.04,2.62,2.62,False
204,123253,130081,29,253363,91642,98170,3,192001,75.78,74.35,75.47,1.12,112159,117928,62,230149,93451,102942,47,199039,86.48,83.32,87.29,3.97,Sattur,South,GEN,Virudhunagar,8.97,11.82,2.85,2.85,False
205,127640,134142,27,261809,90160,93105,2,185108,70.7,70.64,69.41,-1.23,110989,117448,28,228465,92408,99545,12,193594,84.74,83.26,84.76,1.5,Sivakasi,South,GEN,Virudhunagar,12.62,15.35,2.73,2.73,True
206,109582,114471,46,224099,78205,81254,7,161777,72.19,71.37,70.98,-0.39,97702,103195,41,200938,79370,86662,24,168517,83.87,81.24,83.98,2.74,Virudhunagar,South,GEN,Virudhunagar,9.87,13.0,3.13,3.13,True
207,108683,115120,17,223820,81295,87683,2,171961,76.83,74.8,76.17,1.37,101021,107118,29,208168,83014,93101,14,178698,85.84,82.17,86.91,4.74,Aruppukottai,South,GEN,Virudhunagar,7.37,10.74,3.37,3.37,False
208,108645,112764,12,221421,83573,87662,2,172953,78.11,76.92,77.74,0.82,101535,104131,15,205681,86223,92852,10,181638,88.31,84.92,89.17,4.25,Tiruchuli,South,GEN,Virudhunagar,8.0,11.43,3.43,3.43,False
209,127088,129054,16,256158,84296,94652,3,182445,71.22,66.33,73.34,7.01,116769,118322,18,235109,85972,100767,12,190014,80.82,73.63,85.16,11.53,Paramakudi,South,SC,Ramanathapuram,7.3,11.82,4.52,4.52,False
210,145716,145499,21,291236,91926,107948,2,202317,69.47,63.09,74.19,11.1,141198,142909,23,284130,98602,119551,10,220448,77.59,69.83,83.66,13.83,Tiruvadanai,South,GEN,Ramanathapuram,6.74,9.47,2.73,2.73,False
211,152841,155581,21,308443,98614,113580,1,214548,69.56,64.52,73.0,8.48,153584,158866,13,312463,106892,128695,5,237696,76.07,69.6,81.01,11.41,Ramanathapuram,South,GEN,Ramanathapuram,5.08,8.01,2.93,2.93,False
212,155883,155066,5,310954,103031,115099,1,221325,71.18,66.1,74.23,8.13,149600,150100,2,299702,106926,121388,1,231373,77.2,71.47,80.87,9.4,Mudukulathur,South,GEN,Ramanathapuram,5.37,6.64,1.27,1.27,False
213,106370,110548,5,216923,79954,85728,3,168006,77.45,75.17,77.55,2.38,100955,104494,16,205465,82816,89728,12,175030,85.19,82.03,85.87,3.84,Vilathikulam,South,GEN,Thoothukudi,6.86,8.32,1.46,1.46,False
214,139542,145901,54,285497,93422,92134,13,188693,66.09,66.95,63.15,-3.8,121897,128841,65,250803,97716,105009,40,204992,81.73,80.16,81.5,1.34,Thoothukkudi,South,GEN,Thoothukudi,13.21,18.35,5.14,5.14,True
215,118928,126199,17,245144,82523,89127,11,174876,71.34,69.39,70.62,1.23,113532,119499,30,233061,87381,96353,20,186322,79.95,76.97,80.63,3.66,Tiruchendur,South,GEN,Thoothukudi,7.58,10.01,2.43,2.43,False
216,110729,113956,4,224689,79642,82675,2,165414,73.62,71.93,72.55,0.62,106078,108547,5,214630,84320,89176,4,176594,82.28,79.49,82.15,2.66,Srivaikuntam,South,GEN,Thoothukudi,7.56,9.6,2.04,2.04,False
217,123519,128050,28,251597,86191,88884,9,177926,70.72,69.78,69.41,-0.37,119629,125001,56,244686,93245,100012,23,196554,80.33,77.95,80.01,2.06,Ottapidaram,South,SC,Thoothukudi,8.17,10.6,2.43,2.43,True
218,130639,135955,31,266625,86266,93029,6,182221,68.34,66.03,68.43,2.4,117661,124669,29,242359,90011,101751,12,194497,80.25,76.5,81.62,5.12,Kovilpatti,South,GEN,Thoothukudi,10.47,13.19,2.72,2.72,False
219,123822,130416,5,254243,87061,94051,0,183758,72.28,70.31,72.12,1.81,116467,122551,17,239035,91021,101919,12,197670,82.7,78.15,83.16,5.01,Sankarankovil,South,SC,Tirunelveli,7.84,11.04,3.2,3.2,False
220,119173,122574,1,241748,82535,90752,0,175889,72.76,69.26,74.04,4.78,112113,117053,13,229179,86845,99459,9,190256,83.02,77.46,84.97,7.51,Vasudevanallur,South,SC,Tirunelveli,8.2,10.93,2.73,2.73,False
221,144445,145982,5,290432,95732,107932,0,205990,70.93,66.28,73.94,7.66,133499,136207,17,269723,100529,118655,8,222360,82.44,75.3,87.11,11.81,Kadayanallur,South,GEN,Tirunelveli,9.02,13.17,4.15,4.15,False
222,143662,148859,17,292538,103570,107946,3,214490,73.32,72.09,72.52,0.43,137606,144294,102,282002,110970,120953,45,235213,83.41,80.64,83.82,3.18,Tenkasi,South,GEN,Tirunelveli,8.55,11.3,2.75,2.75,False
223,126535,134146,7,260688,97721,103854,3,203484,78.06,77.23,77.42,0.19,124973,130736,21,255730,105179,112534,14,221103,86.46,84.16,86.08,1.92,Alangulam,South,GEN,Tirunelveli,6.93,8.66,1.73,1.73,False
224,143068,149286,57,292411,96813,98540,24,197995,67.71,67.67,66.01,-1.66,133987,142229,80,276296,103881,111823,63,219060,79.28,77.53,78.62,1.09,Tirunelveli,South,GEN,Tirunelveli,9.86,12.61,2.75,2.75,True
225,119071,125928,4,245003,84861,91372,1,178361,72.8,71.27,72.56,1.29,110714,117520,12,228246,89271,99450,10,191613,83.95,80.63,84.62,3.99,Ambasamudram,South,GEN,Tirunelveli,9.36,12.06,2.7,2.7,False
226,134129,139408,20,273557,78287,79548,1,161357,58.98,58.37,57.06,-1.31,125093,132387,18,257498,84519,92797,5,181061,70.32,67.56,70.1,2.54,Palayamcottai,South,GEN,Tirunelveli,9.19,13.04,3.85,3.85,True
227,136628,141228,9,277865,92795,97633,1,193137,69.51,67.92,69.13,1.21,126747,130720,13,257480,98912,107442,8,209548,81.38,78.04,82.19,4.15,Nanguneri,South,GEN,Tirunelveli,10.12,13.06,2.94,2.94,False
228,133143,137603,14,270760,88066,96329,2,187651,69.31,66.14,70.01,3.87,121832,125455,23,247310,92325,105228,14,200446,81.05,75.78,83.88,8.1,Radhapuram,South,GEN,Tirunelveli,9.64,13.87,4.23,4.23,False
229,145894,147651,112,293657,107912,113215,7,225573,76.82,73.97,76.68,2.71,142753,146714,94,289561,110849,124085,58,239978,82.88,77.65,84.58,6.93,Kanniyakumari,South,GEN,Kanniyakumari,3.68,7.9,4.22,4.22,False
230,133909,136925,11,270845,90207,91075,2,184444,68.1,67.36,66.51,-0.85,127154,132197,10,259361,91964,101342,3,196545,75.78,72.32,76.66,4.34,Nagercoil,South,GEN,Kanniyakumari,4.96,10.15,5.19,5.19,True
231,137311,131961,15,269287,89276,91149,0,183747,68.23,65.02,69.07,4.05,133550,132504,1,266055,91595,104579,1,199711,75.06,68.58,78.93,10.35,Colachel,South,GEN,Kanniyakumari,3.56,9.86,6.3,6.3,False
232,122413,118412,28,240853,82491,85054,1,171599,71.25,67.39,71.83,4.44,119087,118070,3,237160,83637,94077,3,181648,76.59,70.23,79.68,9.45,Padmanabhapuram,South,GEN,Kanniyakumari,2.84,7.85,5.01,5.01,False
233,123622,126416,27,250065,81342,84317,0,168593,67.42,65.8,66.7,0.9,114567,114127,3,228697,80934,90663,2,175453,76.72,70.64,79.44,8.8,Vilavancode,South,GEN,Kanniyakumari,4.84,12.74,7.9,7.9,False
234,129688,125640,19,255347,82234,84524,0,170395,66.73,63.41,67.27,3.86,125668,121606,15,247289,80449,94382,1,178628,72.23,64.02,77.61,13.59,Killiyoor,South,GEN,Kanniyakumari,0.61,10.34,9.73,9.73,False
