ac_number,male_electors,female_electors,tg_electors
1,123359,130734,36
2,122296,129066,35
3,129401,132431,25
4,122198,128784,36
5,179137,189428,69
6,213146,222955,76
7,183965,189237,81
8,165363,171598,58
9,211240,220475,81
10,119207,125575,121
11,95250,104013,96
12,109688,116535,73
13,101791,109945,36
14,78671,84668,33
15,87082,94476,63
16,67542,71176,57
17,77211,82385,58
18,59771,60298,57
19,80438,85526,59
20,75239,82221,69
21,90834,97979,48
22,96972,103554,52
23,98535,105549,62
24,76513,82210,34
25,95275,104166,24
26,104904,112220,47
27,270668,283121,116
28,146242,154771,42
29,184564,197123,63
30,164338,172601,24
31,160449,169560,51
32,181069,191713,57
33,143244,151112,54
34,100917,103061,20
35,104496,108078,65
36,119559,126556,62
37,134909,143829,37
38,97690,103057,26
39,126667,130843,12
40,110210,118493,33
41,120173,128026,45
42,119900,125391,28
43,103205,111252,47
44,115690,122982,43
45,105333,109963,8
46,122345,129209,34
47,119595,122894,51
48,104331,110097,41
49,116714,119393,20
50,112703,113959,29
51,117810,117600,41
52,118085,121216,17
53,130891,136414,61
54,124431,121624,38
55,171258,171659,72
56,120876,117011,37
57,120881,119420,21
58,127802,120803,9
59,130664,130003,84
60,128301,128325,14
61,122332,123336,24
62,133674,135310,13
63,120961,128840,48
64,118702,122106,15
65,115114,117715,18
66,114848,118915,11
67,124166,130759,38
68,117854,121993,9
69,105370,108099,5
70,120042,122596,29
71,104048,104949,19
72,107496,111749,11
73,102719,107089,16
74,119622,126201,76
75,112767,116199,29
76,121983,121087,35
77,150411,150244,44
78,136637,136883,51
79,131507,134400,44
80,138968,142546,68
81,106351,111959,7
82,110724,117407,22
83,133706,139105,18
84,149999,144572,22
85,128836,126814,15
86,139680,136677,30
87,131408,129087,30
88,128406,129480,64
89,115968,122619,50
90,111251,115551,49
91,125720,124712,17
92,108587,113652,13
93,112088,117284,26
94,114355,123442,39
95,98484,106653,10
96,101416,107608,48
97,106188,113788,72
98,85804,93724,38
99,120433,129701,43
100,99241,108411,12
101,106875,115523,8
102,105073,114467,13
103,102853,111572,6
104,109005,114147,20
105,101094,106234,27
106,114070,125096,13
107,114697,122893,23
108,89733,99082,11
109,89910,95481,7
110,83960,93814,8
111,134220,147924,35
112,121260,132093,8
113,155070,160642,125
114,96191,100876,24
115,159554,170265,30
116,147868,159647,101
117,205189,216834,115
118,145849,151061,29
119,141641,151577,106
120,91301,97545,32
121,130529,139388,24
122,147068,158774,36
123,96994,106942,35
124,82100,91487,21
125,110178,120771,27
126,103252,111541,16
127,116862,122883,50
128,105633,114603,2
129,125951,135875,17
130,108300,112780,14
131,128229,132854,69
132,116779,125127,20
133,119153,124618,3
134,93172,102343,2
135,108232,121722,41
136,98636,104327,31
137,108901,114276,7
138,132135,135856,8
139,139129,147851,47
140,114425,124460,35
141,106255,113882,54
142,125854,133638,54
143,102636,109513,28
144,114314,122148,38
145,104259,109732,15
146,101893,108761,31
147,140937,149700,29
148,132318,135774,3
149,130194,132732,16
150,130371,133067,12
151,102727,106253,4
152,119650,121111,22
153,95509,95746,16
154,117245,124450,72
155,106187,116882,80
156,116838,121305,46
157,115772,117468,19
158,113561,117645,30
159,112479,113844,10
160,119539,121767,13
161,115452,119076,26
162,127948,131306,8
163,85266,89395,22
164,84100,86451,7
165,92348,95090,1
166,111565,115267,13
167,113605,120821,4
168,127030,132977,20
169,132348,135070,14
170,126222,130700,8
171,123507,130796,15
172,124740,131755,23
173,126231,132123,20
174,120317,132309,50
175,113315,120221,6
176,116032,126368,20
177,104786,109145,15
178,98574,97441,9
179,110869,114187,34
180,110809,115113,22
181,107590,112975,3
182,104774,107304,0
183,113197,116593,2
184,149286,156610,29
185,135436,140464,4
186,136035,142086,3
187,127349,132026,7
188,114032,115778,11
189,163848,172622,57
190,105300,109473,12
191,107416,113708,50
192,88266,91604,49
193,96947,102645,26
194,135052,140452,12
195,152389,158980,31
196,126708,134521,9
197,132351,133833,8
198,125525,130974,30
199,129399,136321,110
200,127593,135683,16
201,123541,132325,22
202,104157,110002,33
203,108936,115147,39
204,111357,117911,62
205,110737,117440,28
206,97391,103186,41
207,100607,107114,29
208,101165,104121,15
209,116282,118308,18
210,140937,142904,23
211,153430,158860,13
212,148876,150080,2
213,100484,104482,16
214,121695,128827,65
215,113407,119496,30
216,105728,108535,5
217,118710,124990,56
218,116980,124651,29
219,115541,122524,17
220,111507,117037,13
221,133009,136194,17
222,137240,144282,102
223,124706,130730,21
224,133571,142206,80
225,110357,117509,12
226,124935,132376,18
227,126452,130712,13
228,121596,125442,23
229,142078,146695,94
230,126738,132180,10
231,132540,132474,1
232,117488,118020,3
233,112612,114043,3
234,123798,121546,15
,28030658,29304906,7728