ac_number,constituency,party_21,vote_pct_21,region,reserved,party_26,vote_pct_26,rank,pct_change
86,Edapadi,AIADMK,66.27,Central,GEN,AIADMK,57.97,1,-8.3
179,Viralimalai,AIADMK,52.93,Delta,GEN,AIADMK,51.97,2,-0.96
128,Oddanchatram,DMK,54.9,South,GEN,DMK,46.52,3,-8.38
57,Palacode,AIADMK,53.63,North,GEN,AIADMK,45.9,4,-7.73
18,Harbour,DMK,58.88,Chennai Metro,GEN,DMK,45.7,5,-13.18
159,Kattumannarkoil,VCK,49.2,Central,SC,VCK,45.44,6,-3.76
140,Tiruchirapalli (West),DMK,65.27,Delta,GEN,DMK,45.19,7,-20.08
19,Chepauk-Thiruvallikeni,DMK,68.92,Chennai Metro,GEN,DMK,44.96,8,-23.96
129,Athoor,DMK,72.6,South,GEN,DMK,44.95,9,-27.65
169,Nannilam,AIADMK,46.95,Delta,GEN,AIADMK,44.88,10,-2.07
226,Palayamcottai,DMK,55.89,South,GEN,DMK,44.36,11,-11.53
60,Pappireddippatti,AIADMK,52.13,North,GEN,AIADMK,43.16,12,-8.97
168,Thiruvarur,DMK,52.7,Delta,GEN,DMK,43.04,13,-9.66
84,Omalur,AIADMK,57.59,Central,GEN,AIADMK,41.62,14,-15.97
208,Tiruchuli,DMK,59.41,South,GEN,DMK,41.52,15,-17.89
233,Vilavancode,INC,52.36,South,GEN,INC,40.64,16,-11.72
63,Tiruvannamalai,DMK,66.72,North,GEN,DMK,40.26,17,-26.46
59,Dharmapuri,PMK,48.99,North,GEN,PMK,39.44,18,-9.55
134,Aravakurichi,DMK,52.98,Kongu,GEN,DMK,39.25,19,-13.73
215,Tiruchendur,DMK,50.88,South,GEN,DMK,39.24,20,-11.64
82,Attur,AIADMK,48.16,Central,SC,AIADMK,39.0,21,-9.16
144,Manachanallur,DMK,59.46,Delta,GEN,DMK,38.94,22,-20.52
166,Thiruthuraipundi,CPI,52.6,Delta,SC,CPI,38.93,23,-13.67
170,Thiruvidamarudur,DMK,48.56,Delta,SC,DMK,38.4,24,-10.16
56,Thalli,CPI,62.82,North,GEN,CPI,38.31,25,-24.51
48,Ambur,DMK,51.27,North,GEN,DMK,37.98,26,-13.29
148,Kunnam,DMK,47.43,Central,GEN,DMK,37.91,27,-9.52
211,Ramanathapuram,DMK,52.07,South,GEN,DMK,37.67,28,-14.4
133,Vedasandur,DMK,50.16,South,GEN,DMK,37.57,29,-12.59
234,Killiyoor,INC,60.03,South,GEN,INC,37.53,30,-22.5
81,Gangavalli,AIADMK,48.35,Central,SC,AIADMK,37.34,31,-11.01
164,Kilvelur,CPI(M),47.85,Delta,SC,CPI(M),37.13,32,-10.72
162,Poompuhar,DMK,46.4,Delta,GEN,DMK,37.07,33,-9.33
78,Rishivandiam,DMK,53.56,Central,GEN,DMK,36.73,34,-16.83
157,Bhuvanagiri,AIADMK,49.18,Central,GEN,AIADMK,36.64,35,-12.54
207,Aruppukottai,DMK,53.59,South,GEN,DMK,36.63,36,-16.96
165,Vedaranyam,AIADMK,50.02,Delta,GEN,AIADMK,36.6,37,-13.42
104,Bhavani,AIADMK,50.63,Kongu,GEN,AIADMK,36.53,38,-14.1
77,Ulundurpet,DMK,47.59,Central,GEN,DMK,36.48,39,-11.11
173,Thiruvaiyaru,DMK,49.09,Delta,GEN,DMK,36.36,40,-12.73
119,Thondamuthur,AIADMK,54.27,Kongu,GEN,AIADMK,36.23,41,-18.04
161,Mayiladuthurai,INC,42.43,Delta,GEN,INC,36.18,42,-6.25
182,Alangudi,DMK,51.38,Delta,GEN,DMK,36.11,43,-15.27
176,Pattukkottai,DMK,44.88,Delta,GEN,DMK,36.04,44,-8.84
151,Tittakudi,DMK,50.08,Central,SC,DMK,36.03,45,-14.05
156,Kurinjipadi,DMK,51.35,Central,GEN,DMK,35.95,46,-15.4
131,Natham,AIADMK,48.15,South,GEN,AIADMK,35.93,47,-12.22
87,Sankari,AIADMK,50.04,Central,GEN,AIADMK,35.93,48,-14.11
110,Coonoor,DMK,45.89,Kongu,GEN,DMK,35.88,49,-10.01
160,Sirkali,DMK,49.41,Delta,SC,DMK,35.74,50,-13.67
180,Pudukkottai,DMK,47.86,Delta,GEN,DMK,35.19,51,-12.67
103,Perundurai,AIADMK,45.12,Kongu,GEN,AIADMK,35.17,52,-9.95
35,Maduranthakam,AIADMK,46.97,North,SC,AIADMK,35.09,53,-11.88
83,Yercaud,AIADMK,51.3,Central,ST,AIADMK,34.78,54,-16.52
177,Peravurani,DMK,52.4,Delta,GEN,DMK,34.7,55,-17.7
225,Ambasamudram,AIADMK,48.41,South,GEN,AIADMK,34.5,56,-13.91
61,Harur,AIADMK,50.46,North,SC,AIADMK,34.44,57,-16.02
198,Andipatti,DMK,44.93,South,GEN,DMK,34.36,58,-10.57
74,Villupuram,DMK,50.16,Central,GEN,DMK,33.97,59,-16.19
69,Vandavasi,DMK,55.41,North,SC,DMK,33.54,60,-21.87
213,Vilathikulam,DMK,54.38,South,GEN,DMK,33.53,61,-20.85
67,Arani,AIADMK,46.86,North,GEN,AIADMK,33.44,62,-13.42
231,Colachel,INC,49.8,South,GEN,INC,33.37,63,-16.43
220,Vasudevanallur,DMK,39.57,South,SC,DMK,33.33,64,-6.24
137,Kulithalai,DMK,51.37,Kongu,GEN,DMK,32.68,65,-18.69
95,Paramathi-Velur,AIADMK,47.08,Central,GEN,AIADMK,32.56,66,-14.52
181,Thirumayam,DMK,41.13,Delta,GEN,DMK,32.04,67,-9.09
229,Kanniyakumari,AIADMK,49.04,South,GEN,AIADMK,31.49,68,-17.55
204,Sattur,DMK,38.94,South,GEN,DMK,31.3,69,-7.64
209,Paramakudi,DMK,46.91,South,SC,DMK,31.29,70,-15.62
212,Mudukulathur,DMK,46.17,South,GEN,DMK,29.45,71,-16.72
